Company_Brand,Founded,HeadQuarter,Sector,Amount,Stage,Funding Year
Suryoday,2008.0,Mumbai,Finance,800000.0,Unknown,2020
SucSEED,2016.0,Hyderabad,Finance,1300000.0,Unknown,2020
Unacademy,2015.0,Bangalore,EdTech,150000000.0,Unknown,2020
Strata,2019.0,Bangalore,Real Estate,19067328.0,Unknown,2020
3one4 Capital,2016.0,Bangalore,Venture capital,100000000.0,Unknown,2020
WE-Hub,2018.0,Hyderabad,Entreprenurship,0.0,Unknown,2020
Zomato,2008.0,Haryana,Food devlivery,62000000.0,Unknown,2020
Vicara,2017.0,Bangalore,Tech Startup,0.0,Unknown,2020
Gaana,2010.0,Gurugram,Entertainment,51000000.0,Unknown,2020
EM3 Agri,2013.0,Noida,AgriTech,1000000.0,Unknown,2020
Plum,2013.0,Thane,Cosmetics,115000.0,Unknown,2020
Odwen,2018.0,Noida,Warehouse,54000.0,Unknown,2020
Fasal,2018.0,Bangalore,AgriTech,20000.0,Unknown,2020
Trukky,2015.0,Ahmedabad,Logistics,0.0,Unknown,2020
BankBazaar,2008.0,Chennai,Online financial service,9000000.0,Unknown,2020
Specsmakers,2011.0,Chennai,Eyeglasses,3000000.0,Unknown,2020
Grinntech,2013.0,Dehradun,Battery design,2000000.0,Unknown,2020
CreditMantri,2012.0,Chennai,Online credit management startup,803146.0,Unknown,2020
Chai Waale,2018.0,Chennai,Beverage,238000.0,Unknown,2020
Deepsync,2018.0,Bangalore,Tech Startup,300000.0,Unknown,2020
Byju’s,2011.0,Bangalore,EdTech,500000000.0,Unknown,2020
ConnectedH,2016.0,Gurgaon,HealthCare,0.0,Unknown,2020
Reliance Retail,2006.0,Mumbai,E-commerce,10220000.0,Unknown,2020
QShala,2014.0,Bangalore,EdTech,300000.0,Unknown,2020
Pitstop,2015.0,Bangalore,Car Service,1020000.0,Unknown,2020
Zomato,2008.0,Haryana,Food devlivery,100000000.0,Unknown,2020
Customfit ai,2019.0,Bangalore,SaaS startup,0.0,Unknown,2020
Nirmata,2013.0,San Franciscao,Tech,0.0,Unknown,2020
Hire Me Car,2015.0,Noida,TravelTech,0.0,Early Stage,2020
